,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
2,2.0,1.0,1.0,96.0,0.0,0.0,96.0,95.0,96.0,0.0,log
3,3.0,1.0,0.0,0.0,0.0,0.0,96.0,95.0,96.0,0.0,log
4,4.0,1.0,0.0,0.0,0.0,0.0,96.0,95.0,96.0,0.0,log
5,5.0,1.0,0.0,0.0,0.0,0.0,96.0,95.0,96.0,0.0,log
6,6.0,2.0,1.0,126.0,0.0,0.0,126.0,125.0,126.0,0.0,log
7,7.0,2.0,0.0,0.0,0.0,0.0,96.0,125.0,126.0,1.0,log
8,8.0,3.0,1.0,62.0,0.0,0.0,126.0,125.0,126.0,0.0,log
9,9.0,4.0,1.0,37.0,0.0,0.0,62.0,61.0,62.0,0.0,log
10,10.0,5.0,1.0,2.0,0.0,0.0,2.0,95.0,,,not_found
11,11.0,5.0,0.0,0.0,0.0,0.0,96.0,36.0,37.0,3.0,log
12,12.0,6.0,1.0,19.0,0.0,0.0,19.0,1.0,2.0,3.0,log
13,13.0,6.0,0.0,0.0,0.0,0.0,62.0,18.0,19.0,3.0,log
14,14.0,6.0,0.0,0.0,0.0,0.0,62.0,61.0,62.0,0.0,log
15,15.0,6.0,0.0,0.0,0.0,0.0,19.0,36.0,37.0,1.0,log
16,16.0,7.0,1.0,67.0,0.0,0.0,37.0,18.0,19.0,3.0,log
17,17.0,7.0,0.0,0.0,0.0,0.0,126.0,125.0,126.0,0.0,log
18,18.0,8.0,1.0,18.0,0.0,0.0,96.0,61.0,62.0,2.0,log
19,19.0,9.0,1.0,1.0,0.0,0.0,96.0,18.0,19.0,0.0,log
20,20.0,9.0,0.0,0.0,0.0,0.0,62.0,1.0,2.0,3.0,log
21,21.0,10.0,1.0,120.0,0.0,0.0,37.0,125.0,126.0,3.0,log
22,22.0,11.0,1.0,57.0,0.0,0.0,18.0,17.0,18.0,0.0,log
23,23.0,11.0,0.0,0.0,0.0,0.0,18.0,61.0,62.0,4.0,log
24,24.0,12.0,1.0,77.0,0.0,0.0,57.0,36.0,37.0,0.0,log
25,25.0,12.0,0.0,0.0,0.0,0.0,18.0,66.0,67.0,2.0,log
26,26.0,12.0,0.0,0.0,0.0,0.0,77.0,95.0,96.0,1.0,log
27,27.0,12.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,3.0,log
28,28.0,11.0,0.0,0.0,1.0,2.0,67.0,18.0,19.0,2.0,log
29,29.0,12.0,1.0,23.0,0.0,0.0,62.0,56.0,57.0,3.0,log
30,30.0,12.0,0.0,0.0,0.0,0.0,120.0,61.0,62.0,2.0,log
31,31.0,12.0,0.0,0.0,0.0,0.0,57.0,119.0,120.0,2.0,log
32,32.0,13.0,1.0,27.0,0.0,0.0,27.0,26.0,27.0,0.0,log
33,33.0,13.0,0.0,0.0,0.0,0.0,19.0,76.0,77.0,3.0,log
34,34.0,14.0,1.0,2.0,0.0,0.0,2.0,76.0,77.0,4.0,log
35,35.0,15.0,1.0,85.0,0.0,0.0,120.0,17.0,18.0,3.0,log
36,36.0,16.0,1.0,41.0,0.0,0.0,19.0,18.0,19.0,0.0,log
37,37.0,17.0,1.0,13.0,0.0,0.0,37.0,56.0,57.0,2.0,log
38,38.0,18.0,1.0,12.0,0.0,0.0,27.0,76.0,77.0,4.0,log
39,39.0,18.0,0.0,0.0,0.0,0.0,37.0,76.0,77.0,3.0,log
40,40.0,18.0,0.0,0.0,0.0,0.0,57.0,76.0,77.0,2.0,log
